#"Step","Potential Energy (kJ/mole)","Temperature (K)"
40000,-3300.9411373585463,297.9550841567655
80000,-3238.073374271393,297.68499422007875
120000,-3281.856591939926,292.5969308036018
160000,-3315.8882331848145,306.43431805552854
200000,-3309.4875078201294,290.6291573368019
240000,-3317.558576852083,297.760850606325
280000,-3322.159107297659,297.33811056600894
320000,-3295.064319856465,317.19196286011413
360000,-3254.005893960595,330.86969842136097
400000,-3335.5150466561317,306.98878255126056
440000,-3322.338998004794,308.6133129057461
480000,-3195.754869699478,305.096784129235
520000,-3308.478664815426,281.79447881161104
560000,-3213.082335591316,309.17624753230086
600000,-3414.527022869559,296.2344011767373
640000,-3245.5336450338364,298.6249032205231
680000,-3243.0553307384253,322.00011093762487
720000,-3169.8142338246107,295.9809693315812
760000,-3367.8229585886,296.92944873209046
800000,-3218.5296612381935,305.07970611581504
840000,-3305.3725451231003,293.6045620074748
880000,-3289.8312274217606,275.0370959245708
920000,-3338.9284547381103,302.49344651510427
960000,-3312.1881638765335,287.48290717527993
1000000,-3228.483617067337,297.7380632990333
1040000,-3238.72594320029,305.27847424478466
1080000,-3315.716743707657,306.91796338277766
1120000,-3297.033635675907,271.1334170606799
1160000,-3357.24980071187,287.769996661095
1200000,-3236.077378988266,285.61812126132463
1240000,-3381.9425692409277,303.44532744849596
1280000,-3361.158628463745,304.3560850257203
1320000,-3171.4547947645187,292.0639596173937
1360000,-3311.5931446552277,314.2195651419494
1400000,-3215.477081298828,297.99759184122524
1440000,-3231.577586144209,304.17008547547726
1480000,-3300.931930541992,294.48778117117854
1520000,-3289.124069213867,284.05188992533584
1560000,-3344.274946441874,300.3609638980809
1600000,-3323.896744966507,321.3975045438108
1640000,-3192.383162945509,297.51482825525807
1680000,-3319.013302087784,283.151152547937
1720000,-3276.6047809123993,281.75125821558294
1760000,-3263.5665841326118,306.4737551815426
1800000,-3259.3142302520573,289.9672981617024
1840000,-3290.753897666931,285.82327130789037
1880000,-3215.152051642537,322.91865756049975
1920000,-3295.920367548242,284.27142460982736
1960000,-3323.807877831161,303.4454621198086
2000000,-3317.811273574829,304.9244377537903
2040000,-3276.6621354297436,329.27880704271234
2080000,-3212.470863856375,299.95699614377656
2120000,-3317.8896889686584,299.0247820312471
2160000,-3270.220211148262,307.05055879212404
2200000,-3247.7068771205377,301.0663844664458
2240000,-3317.340983301401,295.73646617852035
2280000,-3261.130305700004,323.5618672414892
2320000,-3232.4555721879005,290.93027353493187
2360000,-3351.5607100725174,299.04321697459005
2400000,-3343.9339690208435,288.66788849067086
2440000,-3073.8392583057284,274.45318588239434
2480000,-3302.815008044243,280.90760722308033
2520000,-3325.9679651260376,312.7586856654151
2560000,-3211.26174390316,317.3573709430564
2600000,-3289.5691909119487,275.8429916368682
2640000,-3357.922884762287,295.2658007768514
2680000,-3226.0815383195877,311.1251391545081
2720000,-3283.7567548565567,301.726904401766
2760000,-3233.1869918964803,293.9597690866809
2800000,-3315.9820697307587,307.4971917263662
2840000,-3304.8526513334364,283.08701293512013
2880000,-3299.1386217586696,295.9915583670169
2920000,-3317.3064155578613,267.24095777737153
2960000,-3305.133155949414,325.6941776908796
3000000,-3372.2241015173495,315.05728734809145
3040000,-3283.8359603881836,299.7312022896643
3080000,-3370.9922503232956,317.10397194802596
3120000,-3295.72516095452,292.20468649710165
3160000,-3313.6305434703827,291.206935744336
3200000,-3342.28091442585,295.4843745595356
3240000,-3276.448956489563,301.8811994779067
3280000,-3287.857061982155,304.10571118142377
3320000,-3365.4396126270294,298.43338369489663
3360000,-3185.573955655098,302.0647951672365
3400000,-3275.5845419541,290.9576417167542
3440000,-3386.7881006598473,281.78408046367315
3480000,-3333.70094999671,282.9608319518457
3520000,-3344.9910805990803,291.8069392083654
3560000,-3250.6617953777313,295.55389338605613
3600000,-3254.3891795277596,286.91383420432277
3640000,-3320.5319323539734,283.89102391476916
3680000,-3258.656198859215,314.4715946997421
3720000,-3259.5294841916766,299.58103814685245
3760000,-3177.3027855455875,284.6067224502424
3800000,-3362.3172847777605,302.2225784737037
3840000,-3305.1563376784325,288.061084981306
3880000,-3277.2855195254087,312.0760778143091
3920000,-3294.547568798065,285.37184557344193
3960000,-3240.250688496977,297.1339556450528
4000000,-3295.133377695456,326.093549046082
4040000,-3322.8583372421563,321.1811740404565
4080000,-3335.2823686748743,297.00676663888515
4120000,-3259.951492369175,297.02928242528935
4160000,-3264.7104511260986,298.6743138196383
4200000,-3251.2861335277557,323.9778933195542
4240000,-3314.6477398872375,300.7283403577635
4280000,-3202.392491340637,290.7205392466317
4320000,-3226.445226997137,301.00553677143597
4360000,-3213.772263240069,293.3919454142153
4400000,-3329.520306363702,296.4860926709801
4440000,-3264.208638086915,291.86972610160626
4480000,-3203.495532181114,315.1209878163315
4520000,-3282.8277769088745,302.9698075014548
4560000,-3269.2958356142044,305.3660698230385
4600000,-3280.910165309906,281.7538019132809
4640000,-3335.326382137835,298.37266112818577
4680000,-3297.525457328651,288.55421405337165
4720000,-3184.0828034877777,297.56344941273966
4760000,-3298.088261246681,310.46823795440656
4800000,-3297.3237737566233,306.6846356388722
4840000,-3385.7977380752563,303.45005076296985
4880000,-3349.494662642479,310.93736425135
4920000,-3313.236727297306,308.13304723980696
4960000,-3292.2115889638662,255.24684163424078
5000000,-3246.9028049111366,305.9507960990336
5040000,-3282.455195426941,308.2601156982247
5080000,-3144.637352094054,300.4832235575599
5120000,-3259.6116941296495,296.4139892034379
5160000,-3405.5285320281982,287.3775823705927
5200000,-3262.3641424179077,319.5285715789486
5240000,-3380.9921041727066,287.48010986354177
5280000,-3260.033478498459,301.36860641154163
5320000,-3397.6305463202298,285.9193130436376
5360000,-3331.746224731207,287.53079741990405
5400000,-3274.09467536211,295.81497996062205
5440000,-3377.474492073059,309.314056041022
5480000,-3346.4911661557853,293.52957739072605
5520000,-3313.177193105221,307.1496605517864
5560000,-3258.4111328423023,325.86308436931813
5600000,-3355.6960841044784,326.7528112168262
5640000,-3179.845295779407,294.9322431304348
5680000,-3278.627785384655,275.7179248759174
5720000,-3327.792711853981,312.0052054841259
5760000,-3327.7110630460083,296.1122243483238
5800000,-3260.498401196208,303.37167478096177
5840000,-3295.993351004552,288.69089560769766
5880000,-3264.5225008428097,293.3603323661442
5920000,-3409.693576656282,303.9272580434492
5960000,-3293.230082511902,290.5933036887131
6000000,-3373.004676222801,299.09216139437206
6040000,-3200.9945051670074,276.69181773508063
6080000,-3314.3783446885645,281.6916072408536
6120000,-3317.9096930474043,299.229993078914
6160000,-3300.4790477752686,298.79180053877553
6200000,-3347.9628612995148,293.9610420634626
6240000,-3227.18426913023,288.3721504417611
6280000,-3200.1974568217993,282.2252394834967
6320000,-3222.8080189824104,312.7706104894782
6360000,-3289.4054849147797,299.4290218291633
6400000,-3313.4050508588552,316.9102722401929
6440000,-3305.983885554597,302.3063967331059
6480000,-3242.3467535972595,289.3574187988066
6520000,-3258.5574292838573,273.5766738450152
6560000,-3298.4307069778442,283.2401817692057
6600000,-3308.147751260549,315.3793369240196
